table,gender,tobacco,issue_age,duration,q_sel
t3369,Male,Nonsmoker,22,10,3.9e-4
t3369,Male,Nonsmoker,22,11,4.2e-4
t3369,Male,Nonsmoker,22,12,4.5e-4
t3369,Male,Nonsmoker,22,13,4.8e-4
t3369,Male,Nonsmoker,22,14,5.4e-4
t3369,Male,Nonsmoker,22,15,6.1e-4
t3369,Male,Nonsmoker,22,16,6.5e-4
t3369,Male,Nonsmoker,22,17,7.4e-4
t3369,Male,Nonsmoker,22,18,8.6e-4
t3369,Male,Nonsmoker,22,19,9.8e-4
t3369,Male,Nonsmoker,22,20,0.00109
t3369,Male,Nonsmoker,22,21,0.00115
t3369,Male,Nonsmoker,22,22,0.0012
t3369,Male,Nonsmoker,22,23,0.00127
t3369,Male,Nonsmoker,22,24,0.00139
t3369,Male,Nonsmoker,22,25,0.00154
t3369,Male,Nonsmoker,23,1,3.4e-4
t3369,Male,Nonsmoker,23,2,3.5e-4
t3369,Male,Nonsmoker,23,3,3.2e-4
t3369,Male,Nonsmoker,23,4,3.1e-4
t3369,Male,Nonsmoker,23,5,3e-4
t3369,Male,Nonsmoker,23,6,3e-4
t3369,Male,Nonsmoker,23,7,3e-4
t3369,Male,Nonsmoker,23,8,3.2e-4
t3369,Male,Nonsmoker,23,9,3.3e-4
t3369,Male,Nonsmoker,23,10,3.9e-4
t3369,Male,Nonsmoker,23,11,4.2e-4
t3369,Male,Nonsmoker,23,12,4.6e-4
t3369,Male,Nonsmoker,23,13,5.1e-4
t3369,Male,Nonsmoker,23,14,5.7e-4
t3369,Male,Nonsmoker,23,15,6.3e-4
t3369,Male,Nonsmoker,23,16,6.8e-4
t3369,Male,Nonsmoker,23,17,7.8e-4
t3369,Male,Nonsmoker,23,18,9e-4
t3369,Male,Nonsmoker,23,19,0.00102
t3369,Male,Nonsmoker,23,20,0.00109
t3369,Male,Nonsmoker,23,21,0.00115
t3369,Male,Nonsmoker,23,22,0.0012
t3369,Male,Nonsmoker,23,23,0.00128
t3369,Male,Nonsmoker,23,24,0.00142
t3369,Male,Nonsmoker,23,25,0.00159
t3369,Male,Nonsmoker,24,1,2.9e-4
