table,gender,tobacco,issue_age,duration,q_sel
t3291,Male,Nonsmoker,22,10,4.8e-4
t3291,Male,Nonsmoker,22,11,5.1e-4
t3291,Male,Nonsmoker,22,12,5.4e-4
t3291,Male,Nonsmoker,22,13,5.8e-4
t3291,Male,Nonsmoker,22,14,6.4e-4
t3291,Male,Nonsmoker,22,15,7.2e-4
t3291,Male,Nonsmoker,22,16,7.7e-4
t3291,Male,Nonsmoker,22,17,8.8e-4
t3291,Male,Nonsmoker,22,18,0.00101
t3291,Male,Nonsmoker,22,19,0.00117
t3291,Male,Nonsmoker,22,20,0.0013
t3291,Male,Nonsmoker,22,21,0.00138
t3291,Male,Nonsmoker,22,22,0.00145
t3291,Male,Nonsmoker,22,23,0.00153
t3291,Male,Nonsmoker,22,24,0.00167
t3291,Male,Nonsmoker,22,25,0.00183
t3291,Male,Nonsmoker,23,1,4.5e-4
t3291,Male,Nonsmoker,23,2,4.7e-4
t3291,Male,Nonsmoker,23,3,4.2e-4
t3291,Male,Nonsmoker,23,4,4e-4
t3291,Male,Nonsmoker,23,5,4e-4
t3291,Male,Nonsmoker,23,6,3.9e-4
t3291,Male,Nonsmoker,23,7,3.9e-4
t3291,Male,Nonsmoker,23,8,4e-4
t3291,Male,Nonsmoker,23,9,4.1e-4
t3291,Male,Nonsmoker,23,10,4.7e-4
t3291,Male,Nonsmoker,23,11,5.1e-4
t3291,Male,Nonsmoker,23,12,5.5e-4
t3291,Male,Nonsmoker,23,13,6e-4
t3291,Male,Nonsmoker,23,14,6.8e-4
t3291,Male,Nonsmoker,23,15,7.5e-4
t3291,Male,Nonsmoker,23,16,8e-4
t3291,Male,Nonsmoker,23,17,9.1e-4
t3291,Male,Nonsmoker,23,18,0.00106
t3291,Male,Nonsmoker,23,19,0.00121
t3291,Male,Nonsmoker,23,20,0.00132
t3291,Male,Nonsmoker,23,21,0.00139
t3291,Male,Nonsmoker,23,22,0.00145
t3291,Male,Nonsmoker,23,23,0.00153
t3291,Male,Nonsmoker,23,24,0.00169
t3291,Male,Nonsmoker,23,25,0.00188
t3291,Male,Nonsmoker,24,1,3.8e-4
t3291,Male,Nonsmoker,24,2,3.9e-4
t3291,Male,Nonsmoker,24,3,3.6e-4
t3291,Male,Nonsmoker,24,4,3.5e-4
t3291,Male,Nonsmoker,24,5,3.4e-4
t3291,Male,Nonsmoker,24,6,3.4e-4
t3291,Male,Nonsmoker,24,7,3.5e-4
t3291,Male,Nonsmoker,24,8,3.8e-4
t3291,Male,Nonsmoker,24,9,4e-4
t3291,Male,Nonsmoker,24,10,4.8e-4
t3291,Male,Nonsmoker,24,11,5.2e-4
t3291,Male,Nonsmoker,24,12,5.7e-4
t3291,Male,Nonsmoker,24,13,6.3e-4
t3291,Male,Nonsmoker,24,14,7.1e-4
t3291,Male,Nonsmoker,24,15,7.8e-4
t3291,Male,Nonsmoker,24,16,8.4e-4
t3291,Male,Nonsmoker,24,17,9.7e-4
t3291,Male,Nonsmoker,24,18,0.00112
t3291,Male,Nonsmoker,24,19,0.00124
t3291,Male,Nonsmoker,24,20,0.00132
