table,gender,issue_age,duration,q_sel
t3361,Male,0,1,2.3e-4
t3361,Male,0,2,1.3e-4
t3361,Male,0,3,1.1e-4
t3361,Male,0,4,1e-4
t3361,Male,0,5,9e-5
t3361,Male,0,6,8e-5
t3361,Male,0,7,8e-5
t3361,Male,0,8,8e-5
t3361,Male,0,9,8e-5
t3361,Male,0,10,7e-5
t3361,Male,0,11,8e-5
t3361,Male,0,12,8e-5
t3361,Male,0,13,1e-4
t3361,Male,0,14,1.3e-4
t3361,Male,0,15,1.9e-4
t3361,Male,0,16,2.8e-4
t3361,Male,0,17,4.1e-4
t3361,Male,0,18,5.6e-4
t3361,Male,0,19,7e-4
t3361,Male,0,20,8e-4
t3361,Male,0,21,8.4e-4
t3361,Male,0,22,8.6e-4
t3361,Male,0,23,8.6e-4
t3361,Male,0,24,8.6e-4
t3361,Male,0,25,8.6e-4
t3361,Male,1,1,1.3e-4
t3361,Male,1,2,1.1e-4
t3361,Male,1,3,1e-4
t3361,Male,1,4,9e-5
t3361,Male,1,5,8e-5
t3361,Male,1,6,8e-5
t3361,Male,1,7,8e-5
t3361,Male,1,8,8e-5
t3361,Male,1,9,7e-5
t3361,Male,1,10,8e-5
t3361,Male,1,11,8e-5
t3361,Male,1,12,1e-4
t3361,Male,1,13,1.3e-4
t3361,Male,1,14,1.9e-4
t3361,Male,1,15,2.8e-4
t3361,Male,1,16,4.1e-4
t3361,Male,1,17,5.6e-4
t3361,Male,1,18,7e-4
t3361,Male,1,19,8e-4
t3361,Male,1,20,8.4e-4
t3361,Male,1,21,8.6e-4
t3361,Male,1,22,8.6e-4
t3361,Male,1,23,8.6e-4
t3361,Male,1,24,8.6e-4
t3361,Male,1,25,8.6e-4
t3361,Male,2,1,1.1e-4
t3361,Male,2,2,1e-4
t3361,Male,2,3,9e-5
t3361,Male,2,4,8e-5
t3361,Male,2,5,8e-5
t3361,Male,2,6,8e-5
t3361,Male,2,7,8e-5
t3361,Male,2,8,7e-5
t3361,Male,2,9,8e-5
t3361,Male,2,10,8e-5
t3361,Male,2,11,1e-4
t3361,Male,2,12,1.3e-4
t3361,Male,2,13,1.9e-4
t3361,Male,2,14,2.8e-4
t3361,Male,2,15,4.1e-4
t3361,Male,2,16,5.6e-4
t3361,Male,2,17,7e-4
t3361,Male,2,18,8e-4
t3361,Male,2,19,8.4e-4
t3361,Male,2,20,8.6e-4
t3361,Male,2,21,8.6e-4
t3361,Male,2,22,8.6e-4
t3361,Male,2,23,8.6e-4
t3361,Male,2,24,8.6e-4
t3361,Male,2,25,8.6e-4
t3361,Male,3,1,1e-4
t3361,Male,3,2,9e-5
t3361,Male,3,3,8e-5
t3361,Male,3,4,8e-5
t3361,Male,3,5,8e-5
t3361,Male,3,6,8e-5
t3361,Male,3,7,7e-5
t3361,Male,3,8,8e-5
t3361,Male,3,9,8e-5
t3361,Male,3,10,1e-4
