table,gender,tobacco,issue_age,duration,q_sel
t3273,Male,Unismoke,3,17,8.2e-4
t3273,Male,Unismoke,3,18,8.6e-4
t3273,Male,Unismoke,3,19,8.8e-4
t3273,Male,Unismoke,3,20,8.8e-4
t3273,Male,Unismoke,3,21,8.8e-4
t3273,Male,Unismoke,3,22,8.8e-4
t3273,Male,Unismoke,3,23,8.8e-4
t3273,Male,Unismoke,3,24,8.8e-4
t3273,Male,Unismoke,3,25,8.7e-4
t3273,Male,Unismoke,4,1,9e-5
t3273,Male,Unismoke,4,2,9e-5
t3273,Male,Unismoke,4,3,8e-5
t3273,Male,Unismoke,4,4,8e-5
t3273,Male,Unismoke,4,5,8e-5
t3273,Male,Unismoke,4,6,8e-5
t3273,Male,Unismoke,4,7,8e-5
t3273,Male,Unismoke,4,8,8e-5
t3273,Male,Unismoke,4,9,1e-4
t3273,Male,Unismoke,4,10,1.3e-4
t3273,Male,Unismoke,4,11,1.9e-4
t3273,Male,Unismoke,4,12,2.9e-4
t3273,Male,Unismoke,4,13,4.2e-4
t3273,Male,Unismoke,4,14,5.7e-4
t3273,Male,Unismoke,4,15,7.2e-4
t3273,Male,Unismoke,4,16,8.2e-4
t3273,Male,Unismoke,4,17,8.6e-4
t3273,Male,Unismoke,4,18,8.8e-4
t3273,Male,Unismoke,4,19,8.8e-4
t3273,Male,Unismoke,4,20,8.8e-4
t3273,Male,Unismoke,4,21,8.8e-4
t3273,Male,Unismoke,4,22,8.8e-4
t3273,Male,Unismoke,4,23,8.8e-4
t3273,Male,Unismoke,4,24,8.7e-4
t3273,Male,Unismoke,4,25,8.5e-4
t3273,Male,Unismoke,5,1,9e-5
t3273,Male,Unismoke,5,2,8e-5
t3273,Male,Unismoke,5,3,8e-5
t3273,Male,Unismoke,5,4,8e-5
t3273,Male,Unismoke,5,5,8e-5
t3273,Male,Unismoke,5,6,8e-5
t3273,Male,Unismoke,5,7,8e-5
t3273,Male,Unismoke,5,8,1e-4
t3273,Male,Unismoke,5,9,1.3e-4
t3273,Male,Unismoke,5,10,1.9e-4
t3273,Male,Unismoke,5,11,2.9e-4
t3273,Male,Unismoke,5,12,4.2e-4
t3273,Male,Unismoke,5,13,5.7e-4
t3273,Male,Unismoke,5,14,7.2e-4
t3273,Male,Unismoke,5,15,8.2e-4
t3273,Male,Unismoke,5,16,8.6e-4
t3273,Male,Unismoke,5,17,8.8e-4
t3273,Male,Unismoke,5,18,8.8e-4
t3273,Male,Unismoke,5,19,8.8e-4
t3273,Male,Unismoke,5,20,8.8e-4
t3273,Male,Unismoke,5,21,8.8e-4
t3273,Male,Unismoke,5,22,8.8e-4
t3273,Male,Unismoke,5,23,8.7e-4
t3273,Male,Unismoke,5,24,8.5e-4
t3273,Male,Unismoke,5,25,8.4e-4
t3273,Male,Unismoke,6,1,8e-5
t3273,Male,Unismoke,6,2,8e-5
t3273,Male,Unismoke,6,3,8e-5
t3273,Male,Unismoke,6,4,8e-5
t3273,Male,Unismoke,6,5,8e-5
t3273,Male,Unismoke,6,6,8e-5
t3273,Male,Unismoke,6,7,1e-4
t3273,Male,Unismoke,6,8,1.3e-4
t3273,Male,Unismoke,6,9,1.9e-4
t3273,Male,Unismoke,6,10,2.9e-4
t3273,Male,Unismoke,6,11,4.2e-4
t3273,Male,Unismoke,6,12,5.7e-4
t3273,Male,Unismoke,6,13,7.2e-4
t3273,Male,Unismoke,6,14,8.2e-4
t3273,Male,Unismoke,6,15,8.6e-4
t3273,Male,Unismoke,6,16,8.8e-4
t3273,Male,Unismoke,6,17,8.8e-4
t3273,Male,Unismoke,6,18,8.8e-4
t3273,Male,Unismoke,6,19,8.8e-4
t3273,Male,Unismoke,6,20,8.8e-4
t3273,Male,Unismoke,6,21,8.8e-4
t3273,Male,Unismoke,6,22,8.7e-4
t3273,Male,Unismoke,6,23,8.5e-4
t3273,Male,Unismoke,6,24,8.4e-4
t3273,Male,Unismoke,6,25,8.4e-4
t3273,Male,Unismoke,7,1,8e-5
t3273,Male,Unismoke,7,2,8e-5
t3273,Male,Unismoke,7,3,8e-5
t3273,Male,Unismoke,7,4,8e-5
t3273,Male,Unismoke,7,5,8e-5
t3273,Male,Unismoke,7,6,1e-4
t3273,Male,Unismoke,7,7,1.3e-4
t3273,Male,Unismoke,7,8,1.9e-4
t3273,Male,Unismoke,7,9,2.9e-4
t3273,Male,Unismoke,7,10,4.2e-4
t3273,Male,Unismoke,7,11,5.7e-4
t3273,Male,Unismoke,7,12,7.2e-4
t3273,Male,Unismoke,7,13,8.2e-4
t3273,Male,Unismoke,7,14,8.6e-4
t3273,Male,Unismoke,7,15,8.8e-4
t3273,Male,Unismoke,7,16,8.8e-4
t3273,Male,Unismoke,7,17,8.8e-4
t3273,Male,Unismoke,7,18,8.8e-4
t3273,Male,Unismoke,7,19,8.8e-4
t3273,Male,Unismoke,7,20,8.8e-4
t3273,Male,Unismoke,7,21,8.7e-4
t3273,Male,Unismoke,7,22,8.5e-4
t3273,Male,Unismoke,7,23,8.4e-4
t3273,Male,Unismoke,7,24,8.4e-4
t3273,Male,Unismoke,7,25,8.8e-4
t3273,Male,Unismoke,8,1,8e-5
t3273,Male,Unismoke,8,2,8e-5
t3273,Male,Unismoke,8,3,8e-5
t3273,Male,Unismoke,8,4,8e-5
t3273,Male,Unismoke,8,5,1e-4
t3273,Male,Unismoke,8,6,1.3e-4
t3273,Male,Unismoke,8,7,1.9e-4
t3273,Male,Unismoke,8,8,2.9e-4
t3273,Male,Unismoke,8,9,4.2e-4
t3273,Male,Unismoke,8,10,5.7e-4
t3273,Male,Unismoke,8,11,7.2e-4
t3273,Male,Unismoke,8,12,8.2e-4
t3273,Male,Unismoke,8,13,8.6e-4
t3273,Male,Unismoke,8,14,8.8e-4
t3273,Male,Unismoke,8,15,8.8e-4
t3273,Male,Unismoke,8,16,8.8e-4
t3273,Male,Unismoke,8,17,8.8e-4
t3273,Male,Unismoke,8,18,8.8e-4
t3273,Male,Unismoke,8,19,8.8e-4
t3273,Male,Unismoke,8,20,8.7e-4
t3273,Male,Unismoke,8,21,8.5e-4
t3273,Male,Unismoke,8,22,8.4e-4
t3273,Male,Unismoke,8,23,8.4e-4
t3273,Male,Unismoke,8,24,8.8e-4
t3273,Male,Unismoke,8,25,0.00093000000000000005
t3273,Male,Unismoke,9,1,8e-5
t3273,Male,Unismoke,9,2,8e-5
t3273,Male,Unismoke,9,3,8e-5
t3273,Male,Unismoke,9,4,1e-4
t3273,Male,Unismoke,9,5,1.3e-4
t3273,Male,Unismoke,9,6,1.9e-4
t3273,Male,Unismoke,9,7,2.9e-4
t3273,Male,Unismoke,9,8,4.2e-4
t3273,Male,Unismoke,9,9,5.7e-4
t3273,Male,Unismoke,9,10,7.2e-4
t3273,Male,Unismoke,9,11,8.2e-4
t3273,Male,Unismoke,9,12,8.6e-4
t3273,Male,Unismoke,9,13,8.8e-4
t3273,Male,Unismoke,9,14,8.8e-4
t3273,Male,Unismoke,9,15,8.8e-4
t3273,Male,Unismoke,9,16,8.8e-4
t3273,Male,Unismoke,9,17,8.8e-4
t3273,Male,Unismoke,9,18,8.8e-4
t3273,Male,Unismoke,9,19,8.7e-4
t3273,Male,Unismoke,9,20,8.5e-4
t3273,Male,Unismoke,9,21,8.4e-4
t3273,Male,Unismoke,9,22,8.4e-4
t3273,Male,Unismoke,9,23,8.8e-4
t3273,Male,Unismoke,9,24,0.00093000000000000005
t3273,Male,Unismoke,9,25,0.00101
t3273,Male,Unismoke,10,1,8e-5
t3273,Male,Unismoke,10,2,8e-5
t3273,Male,Unismoke,10,3,1e-4
t3273,Male,Unismoke,10,4,1.3e-4
t3273,Male,Unismoke,10,5,1.9e-4
t3273,Male,Unismoke,10,6,2.9e-4
t3273,Male,Unismoke,10,7,4.2e-4
t3273,Male,Unismoke,10,8,5.7e-4
t3273,Male,Unismoke,10,9,7.2e-4
t3273,Male,Unismoke,10,10,8.2e-4
t3273,Male,Unismoke,10,11,8.6e-4
t3273,Male,Unismoke,10,12,8.8e-4
t3273,Male,Unismoke,10,13,8.8e-4
t3273,Male,Unismoke,10,14,8.8e-4
