table,gender,tobacco,attained_age,q_ult
t3274,Female,Unismoke,107,0.44611
t3274,Female,Unismoke,108,0.46277
t3274,Female,Unismoke,109,0.47686
t3274,Female,Unismoke,110,0.488
t3274,Female,Unismoke,111,0.49583
t3274,Female,Unismoke,112,0.5
t3274,Female,Unismoke,113,0.5
t3274,Female,Unismoke,114,0.5
t3274,Female,Unismoke,115,0.5
t3274,Female,Unismoke,116,0.5
t3274,Female,Unismoke,117,0.5
t3274,Female,Unismoke,118,0.5
t3274,Female,Unismoke,119,0.5
t3274,Female,Unismoke,120,0.5
