table,gender,tobacco,issue_age,duration,q_sel
t3275,Male,Unismoke,4,20,8.8e-4
t3275,Male,Unismoke,4,21,8.8e-4
t3275,Male,Unismoke,4,22,8.8e-4
t3275,Male,Unismoke,4,23,8.7e-4
t3275,Male,Unismoke,4,24,8.6e-4
t3275,Male,Unismoke,4,25,8.4e-4
t3275,Male,Unismoke,5,1,9e-5
t3275,Male,Unismoke,5,2,8e-5
t3275,Male,Unismoke,5,3,8e-5
t3275,Male,Unismoke,5,4,8e-5
t3275,Male,Unismoke,5,5,8e-5
t3275,Male,Unismoke,5,6,8e-5
t3275,Male,Unismoke,5,7,9e-5
t3275,Male,Unismoke,5,8,1.2e-4
t3275,Male,Unismoke,5,9,1.6e-4
t3275,Male,Unismoke,5,10,2.4e-4
t3275,Male,Unismoke,5,11,3.5e-4
t3275,Male,Unismoke,5,12,4.9e-4
t3275,Male,Unismoke,5,13,6.5e-4
t3275,Male,Unismoke,5,14,7.7e-4
t3275,Male,Unismoke,5,15,8.4e-4
t3275,Male,Unismoke,5,16,8.7e-4
t3275,Male,Unismoke,5,17,8.8e-4
t3275,Male,Unismoke,5,18,8.8e-4
t3275,Male,Unismoke,5,19,8.8e-4
t3275,Male,Unismoke,5,20,8.8e-4
t3275,Male,Unismoke,5,21,8.8e-4
t3275,Male,Unismoke,5,22,8.7e-4
t3275,Male,Unismoke,5,23,8.6e-4
t3275,Male,Unismoke,5,24,8.4e-4
t3275,Male,Unismoke,5,25,8.4e-4
t3275,Male,Unismoke,6,1,8e-5
t3275,Male,Unismoke,6,2,8e-5
t3275,Male,Unismoke,6,3,8e-5
t3275,Male,Unismoke,6,4,8e-5
t3275,Male,Unismoke,6,5,8e-5
t3275,Male,Unismoke,6,6,9e-5
t3275,Male,Unismoke,6,7,1.2e-4
t3275,Male,Unismoke,6,8,1.6e-4
t3275,Male,Unismoke,6,9,2.4e-4
t3275,Male,Unismoke,6,10,3.5e-4
t3275,Male,Unismoke,6,11,4.9e-4
t3275,Male,Unismoke,6,12,6.5e-4
t3275,Male,Unismoke,6,13,7.7e-4
