table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,6,16,4.4e-4
t3282,20% Male,6,17,4.5e-4
t3282,20% Male,6,18,4.8e-4
t3282,20% Male,6,19,5.2e-4
t3282,20% Male,6,20,5.2e-4
t3282,20% Male,6,21,5.3e-4
t3282,20% Male,6,22,5.3e-4
t3282,20% Male,6,23,5.4e-4
t3282,20% Male,6,24,5.6e-4
t3282,20% Male,6,25,5.9e-4
t3282,20% Male,7,1,8e-5
t3282,20% Male,7,2,8e-5
t3282,20% Male,7,3,8e-5
t3282,20% Male,7,4,9e-5
t3282,20% Male,7,5,9e-5
t3282,20% Male,7,6,9e-5
t3282,20% Male,7,7,1.1e-4
t3282,20% Male,7,8,1.8e-4
t3282,20% Male,7,9,2.7e-4
t3282,20% Male,7,10,3.6e-4
t3282,20% Male,7,11,4.2e-4
t3282,20% Male,7,12,4.2e-4
t3282,20% Male,7,13,4.3e-4
t3282,20% Male,7,14,4.3e-4
t3282,20% Male,7,15,4.4e-4
t3282,20% Male,7,16,4.5e-4
t3282,20% Male,7,17,4.8e-4
t3282,20% Male,7,18,5.2e-4
t3282,20% Male,7,19,5.2e-4
t3282,20% Male,7,20,5.3e-4
t3282,20% Male,7,21,5.3e-4
t3282,20% Male,7,22,5.4e-4
t3282,20% Male,7,23,5.6e-4
t3282,20% Male,7,24,5.9e-4
t3282,20% Male,7,25,6.3e-4
t3282,20% Male,8,1,8e-5
t3282,20% Male,8,2,8e-5
t3282,20% Male,8,3,9e-5
t3282,20% Male,8,4,9e-5
t3282,20% Male,8,5,9e-5
t3282,20% Male,8,6,1.1e-4
t3282,20% Male,8,7,1.8e-4
t3282,20% Male,8,8,2.7e-4
t3282,20% Male,8,9,3.6e-4
t3282,20% Male,8,10,4.2e-4
t3282,20% Male,8,11,4.2e-4
t3282,20% Male,8,12,4.3e-4
t3282,20% Male,8,13,4.3e-4
t3282,20% Male,8,14,4.4e-4
t3282,20% Male,8,15,4.5e-4
t3282,20% Male,8,16,4.8e-4
t3282,20% Male,8,17,5.2e-4
t3282,20% Male,8,18,5.2e-4
t3282,20% Male,8,19,5.3e-4
t3282,20% Male,8,20,5.3e-4
t3282,20% Male,8,21,5.4e-4
t3282,20% Male,8,22,5.6e-4
t3282,20% Male,8,23,5.9e-4
t3282,20% Male,8,24,6.3e-4
t3282,20% Male,8,25,6.8e-4
t3282,20% Male,9,1,8e-5
t3282,20% Male,9,2,9e-5
t3282,20% Male,9,3,9e-5
t3282,20% Male,9,4,9e-5
t3282,20% Male,9,5,1.1e-4
t3282,20% Male,9,6,1.8e-4
t3282,20% Male,9,7,2.7e-4
t3282,20% Male,9,8,3.6e-4
t3282,20% Male,9,9,4.2e-4
t3282,20% Male,9,10,4.2e-4
t3282,20% Male,9,11,4.3e-4
t3282,20% Male,9,12,4.3e-4
t3282,20% Male,9,13,4.4e-4
t3282,20% Male,9,14,4.5e-4
