table,gender_blend,attained_age,q
t2125,60% Male,64,0.010889
t2125,60% Male,65,0.012181
t2125,60% Male,66,0.013654
t2125,60% Male,67,0.015305
t2125,60% Male,68,0.017128
t2125,60% Male,69,0.019117
t2125,60% Male,70,0.021265
t2125,60% Male,71,0.023581
t2125,60% Male,72,0.026116
t2125,60% Male,73,0.028931
t2125,60% Male,74,0.032084
t2125,60% Male,75,0.035629
t2125,60% Male,76,0.039608
t2125,60% Male,77,0.044011
t2125,60% Male,78,0.048816
t2125,60% Male,79,0.054001
t2125,60% Male,80,0.059542
t2125,60% Male,81,0.065416
t2125,60% Male,82,0.071591
t2125,60% Male,83,0.07804
t2125,60% Male,84,0.084734
t2125,60% Male,85,0.091654
t2125,60% Male,86,0.099016
t2125,60% Male,87,0.106789
t2125,60% Male,88,0.115109
t2125,60% Male,89,0.124358
t2125,60% Male,90,0.134389
t2125,60% Male,91,0.145112
t2125,60% Male,92,0.156695
t2125,60% Male,93,0.169282
t2125,60% Male,94,0.183785
t2125,60% Male,95,0.199936
t2125,60% Male,96,0.216907
t2125,60% Male,97,0.235099
t2125,60% Male,98,0.254961
t2125,60% Male,99,0.277146
t2125,60% Male,100,0.301919
t2125,60% Male,101,0.329565
t2125,60% Male,102,0.360552
t2125,60% Male,103,0.395111
t2125,60% Male,104,0.435385
t2125,60% Male,105,0.482847
t2125,60% Male,106,0.539212
t2125,60% Male,107,0.606272
t2125,60% Male,108,0.68589
t2125,60% Male,109,0.780005
t2125,60% Male,110,1
t2126,50% Male,5,2.6e-4
t2126,50% Male,6,2.33e-4
t2126,50% Male,7,2.14e-4
t2126,50% Male,8,2.03e-4
t2126,50% Male,9,1.99e-4
t2126,50% Male,10,1.99e-4
t2126,50% Male,11,2.05e-4
t2126,50% Male,12,2.13e-4
t2126,50% Male,13,2.2e-4
t2126,50% Male,14,2.28e-4
t2126,50% Male,15,2.36e-4
t2126,50% Male,16,2.45e-4
t2126,50% Male,17,2.55e-4
t2126,50% Male,18,2.64e-4
t2126,50% Male,19,2.76e-4
t2126,50% Male,20,2.87e-4
t2126,50% Male,21,3e-4
t2126,50% Male,22,3.14e-4
