table,gender,attained_age,q_ult
t3364,Female,71,0.01389
t3364,Female,72,0.01536
t3364,Female,73,0.01699
t3364,Female,74,0.01883
t3364,Female,75,0.0209
t3364,Female,76,0.02325
t3364,Female,77,0.02591
t3364,Female,78,0.0289
t3364,Female,79,0.03229
t3364,Female,80,0.03624
t3364,Female,81,0.04086
t3364,Female,82,0.0461
t3364,Female,83,0.05208
t3364,Female,84,0.05895
t3364,Female,85,0.0668
t3364,Female,86,0.07555
t3364,Female,87,0.08511
t3364,Female,88,0.09561
t3364,Female,89,0.10704
t3364,Female,90,0.11919
t3364,Female,91,0.13206
t3364,Female,92,0.14579
t3364,Female,93,0.15987
t3364,Female,94,0.17425
t3364,Female,95,0.19071
t3364,Female,96,0.20982
t3364,Female,97,0.23048
t3364,Female,98,0.25251
t3364,Female,99,0.27555
t3364,Female,100,0.29921
t3364,Female,101,0.32314
t3364,Female,102,0.34698
t3364,Female,103,0.37036
t3364,Female,104,0.39292
t3364,Female,105,0.4143
t3364,Female,106,0.43413
t3364,Female,107,0.45205
t3364,Female,108,0.46769
t3364,Female,109,0.48068
t3364,Female,110,0.49065
t3364,Female,111,0.49723
t3364,Female,112,0.5
t3364,Female,113,0.5
t3364,Female,114,0.5
t3364,Female,115,0.5
t3364,Female,116,0.5
t3364,Female,117,0.5
t3364,Female,118,0.5
t3364,Female,119,0.5
t3364,Female,120,0.5
