table,gender,issue_age,duration,q_sel
t3363,Male,7,9,3.4e-4
t3363,Male,7,10,4.8e-4
t3363,Male,7,11,6.3e-4
t3363,Male,7,12,7.5e-4
t3363,Male,7,13,8.2e-4
t3363,Male,7,14,8.5e-4
t3363,Male,7,15,8.6e-4
t3363,Male,7,16,8.6e-4
t3363,Male,7,17,8.6e-4
t3363,Male,7,18,8.6e-4
t3363,Male,7,19,8.6e-4
t3363,Male,7,20,8.5e-4
t3363,Male,7,21,8.4e-4
t3363,Male,7,22,8.3e-4
t3363,Male,7,23,8.2e-4
t3363,Male,7,24,8.4e-4
t3363,Male,7,25,8.8e-4
t3363,Male,8,1,7e-5
t3363,Male,8,2,8e-5
t3363,Male,8,3,8e-5
t3363,Male,8,4,9e-5
t3363,Male,8,5,1.1e-4
t3363,Male,8,6,1.6e-4
t3363,Male,8,7,2.3e-4
t3363,Male,8,8,3.4e-4
t3363,Male,8,9,4.8e-4
t3363,Male,8,10,6.3e-4
t3363,Male,8,11,7.5e-4
t3363,Male,8,12,8.2e-4
t3363,Male,8,13,8.5e-4
t3363,Male,8,14,8.6e-4
t3363,Male,8,15,8.6e-4
t3363,Male,8,16,8.6e-4
t3363,Male,8,17,8.6e-4
t3363,Male,8,18,8.6e-4
t3363,Male,8,19,8.5e-4
t3363,Male,8,20,8.4e-4
t3363,Male,8,21,8.3e-4
t3363,Male,8,22,8.2e-4
t3363,Male,8,23,8.4e-4
t3363,Male,8,24,8.8e-4
t3363,Male,8,25,9.5e-4
t3363,Male,9,1,8e-5
t3363,Male,9,2,8e-5
t3363,Male,9,3,9e-5
t3363,Male,9,4,1.1e-4
t3363,Male,9,5,1.6e-4
t3363,Male,9,6,2.3e-4
t3363,Male,9,7,3.4e-4
t3363,Male,9,8,4.8e-4
t3363,Male,9,9,6.3e-4
t3363,Male,9,10,7.5e-4
t3363,Male,9,11,8.2e-4
t3363,Male,9,12,8.5e-4
t3363,Male,9,13,8.6e-4
t3363,Male,9,14,8.6e-4
t3363,Male,9,15,8.6e-4
t3363,Male,9,16,8.6e-4
t3363,Male,9,17,8.6e-4
