table,gender,tobacco,issue_age,duration,q_sel
t3365,Male,Nonsmoker,22,10,4e-4
t3365,Male,Nonsmoker,22,11,4.2e-4
t3365,Male,Nonsmoker,22,12,4.4e-4
t3365,Male,Nonsmoker,22,13,4.7e-4
t3365,Male,Nonsmoker,22,14,5.3e-4
t3365,Male,Nonsmoker,22,15,5.9e-4
t3365,Male,Nonsmoker,22,16,6.4e-4
t3365,Male,Nonsmoker,22,17,7.2e-4
t3365,Male,Nonsmoker,22,18,8.4e-4
t3365,Male,Nonsmoker,22,19,9.7e-4
t3365,Male,Nonsmoker,22,20,0.00108
t3365,Male,Nonsmoker,22,21,0.00114
t3365,Male,Nonsmoker,22,22,0.0012
t3365,Male,Nonsmoker,22,23,0.00127
t3365,Male,Nonsmoker,22,24,0.00138
t3365,Male,Nonsmoker,22,25,0.00152
t3365,Male,Nonsmoker,23,1,3.7e-4
t3365,Male,Nonsmoker,23,2,3.9e-4
t3365,Male,Nonsmoker,23,3,3.5e-4
t3365,Male,Nonsmoker,23,4,3.3e-4
t3365,Male,Nonsmoker,23,5,3.2e-4
t3365,Male,Nonsmoker,23,6,3.2e-4
t3365,Male,Nonsmoker,23,7,3.2e-4
t3365,Male,Nonsmoker,23,8,3.3e-4
t3365,Male,Nonsmoker,23,9,3.4e-4
t3365,Male,Nonsmoker,23,10,3.9e-4
t3365,Male,Nonsmoker,23,11,4.2e-4
t3365,Male,Nonsmoker,23,12,4.6e-4
t3365,Male,Nonsmoker,23,13,4.9e-4
t3365,Male,Nonsmoker,23,14,5.6e-4
t3365,Male,Nonsmoker,23,15,6.2e-4
t3365,Male,Nonsmoker,23,16,6.6e-4
t3365,Male,Nonsmoker,23,17,7.5e-4
t3365,Male,Nonsmoker,23,18,8.8e-4
t3365,Male,Nonsmoker,23,19,0.001
t3365,Male,Nonsmoker,23,20,0.00109
t3365,Male,Nonsmoker,23,21,0.00115
t3365,Male,Nonsmoker,23,22,0.0012
t3365,Male,Nonsmoker,23,23,0.00127
t3365,Male,Nonsmoker,23,24,0.0014
t3365,Male,Nonsmoker,23,25,0.00156
t3365,Male,Nonsmoker,24,1,3.1e-4
t3365,Male,Nonsmoker,24,2,3.2e-4
t3365,Male,Nonsmoker,24,3,2.9e-4
t3365,Male,Nonsmoker,24,4,2.8e-4
t3365,Male,Nonsmoker,24,5,2.8e-4
t3365,Male,Nonsmoker,24,6,2.8e-4
t3365,Male,Nonsmoker,24,7,2.9e-4
t3365,Male,Nonsmoker,24,8,3.1e-4
t3365,Male,Nonsmoker,24,9,3.3e-4
t3365,Male,Nonsmoker,24,10,3.9e-4
t3365,Male,Nonsmoker,24,11,4.3e-4
t3365,Male,Nonsmoker,24,12,4.7e-4
t3365,Male,Nonsmoker,24,13,5.2e-4
t3365,Male,Nonsmoker,24,14,5.9e-4
t3365,Male,Nonsmoker,24,15,6.4e-4
t3365,Male,Nonsmoker,24,16,6.9e-4
t3365,Male,Nonsmoker,24,17,8e-4
t3365,Male,Nonsmoker,24,18,9.2e-4
t3365,Male,Nonsmoker,24,19,0.00103
t3365,Male,Nonsmoker,24,20,0.00109
t3365,Male,Nonsmoker,24,21,0.00116
t3365,Male,Nonsmoker,24,22,0.00121
t3365,Male,Nonsmoker,24,23,0.00128
t3365,Male,Nonsmoker,24,24,0.00144
t3365,Male,Nonsmoker,24,25,0.00161
