table,gender,issue_age,duration,q_sel
t3289,Male,17,6,0.00093000000000000005
t3289,Male,17,7,9.6e-4
t3289,Male,17,8,0.001
t3289,Male,17,9,0.00101
t3289,Male,17,10,0.00101
t3289,Male,17,11,0.001
t3289,Male,17,12,9.8e-4
t3289,Male,17,13,9.8e-4
t3289,Male,17,14,0.001
t3289,Male,17,15,0.00105
t3289,Male,17,16,0.00113
t3289,Male,17,17,0.00121
t3289,Male,17,18,0.0013
t3289,Male,17,19,0.00141
t3289,Male,17,20,0.00154
t3289,Male,17,21,0.00169
t3289,Male,17,22,0.00183
t3289,Male,17,23,0.00198
t3289,Male,17,24,0.00213
t3289,Male,17,25,0.00227
t3289,Male,18,1,8e-4
t3289,Male,18,2,8.3e-4
t3289,Male,18,3,8.6e-4
t3289,Male,18,4,8.7e-4
t3289,Male,18,5,8.8e-4
t3289,Male,18,6,8.9e-4
t3289,Male,18,7,9.1e-4
t3289,Male,18,8,9e-4
t3289,Male,18,9,8.4e-4
t3289,Male,18,10,8e-4
t3289,Male,18,11,7.9e-4
t3289,Male,18,12,7.7e-4
t3289,Male,18,13,7.7e-4
t3289,Male,18,14,8.1e-4
t3289,Male,18,15,8.7e-4
t3289,Male,18,16,9.4e-4
t3289,Male,18,17,0.00104
t3289,Male,18,18,0.00116
t3289,Male,18,19,0.0013
t3289,Male,18,20,0.00144
t3289,Male,18,21,0.00159
t3289,Male,18,22,0.00175
t3289,Male,18,23,0.00192
t3289,Male,18,24,0.0021
t3289,Male,18,25,0.00227
t3289,Male,19,1,7.4e-4
t3289,Male,19,2,7.7e-4
t3289,Male,19,3,8e-4
t3289,Male,19,4,8e-4
t3289,Male,19,5,8e-4
t3289,Male,19,6,8.2e-4
t3289,Male,19,7,8.2e-4
t3289,Male,19,8,7.9e-4
t3289,Male,19,9,7.5e-4
t3289,Male,19,10,7.3e-4
t3289,Male,19,11,7.3e-4
t3289,Male,19,12,7.3e-4
t3289,Male,19,13,7.6e-4
t3289,Male,19,14,8.2e-4
t3289,Male,19,15,8.9e-4
t3289,Male,19,16,9.7e-4
t3289,Male,19,17,0.00107
t3289,Male,19,18,0.0012
t3289,Male,19,19,0.00135
t3289,Male,19,20,0.00152
t3289,Male,19,21,0.0017
t3289,Male,19,22,0.0018600000000000001
t3289,Male,19,23,0.00203
t3289,Male,19,24,0.0022
t3289,Male,19,25,0.00236
t3289,Male,20,1,6.6e-4
t3289,Male,20,2,7.1e-4
t3289,Male,20,3,7.2e-4
t3289,Male,20,4,7.2e-4
t3289,Male,20,5,7.2e-4
t3289,Male,20,6,7.3e-4
t3289,Male,20,7,7.3e-4
t3289,Male,20,8,7e-4
t3289,Male,20,9,6.7e-4
t3289,Male,20,10,6.9e-4
t3289,Male,20,11,6.9e-4
t3289,Male,20,12,7.2e-4
t3289,Male,20,13,7.7e-4
t3289,Male,20,14,8.4e-4
t3289,Male,20,15,9.2e-4
t3289,Male,20,16,9.9e-4
t3289,Male,20,17,0.00111
t3289,Male,20,18,0.00126
t3289,Male,20,19,0.00144
t3289,Male,20,20,0.00162
t3289,Male,20,21,0.0018
t3289,Male,20,22,0.00196
t3289,Male,20,23,0.00211
t3289,Male,20,24,0.00227
t3289,Male,20,25,0.00242
t3289,Male,21,1,6e-4
t3289,Male,21,2,6.5e-4
t3289,Male,21,3,6.3e-4
t3289,Male,21,4,6.2e-4
t3289,Male,21,5,6.3e-4
t3289,Male,21,6,6.4e-4
t3289,Male,21,7,6.4e-4
t3289,Male,21,8,6.2e-4
t3289,Male,21,9,6.2e-4
t3289,Male,21,10,6.5e-4
t3289,Male,21,11,6.8e-4
t3289,Male,21,12,7.3e-4
t3289,Male,21,13,7.8e-4
t3289,Male,21,14,8.6e-4
t3289,Male,21,15,9.5e-4
t3289,Male,21,16,0.00103
t3289,Male,21,17,0.00117
t3289,Male,21,18,0.00134
t3289,Male,21,19,0.00152
t3289,Male,21,20,0.00171
t3289,Male,21,21,0.00188
t3289,Male,21,22,0.00202
t3289,Male,21,23,0.00215
t3289,Male,21,24,0.0023
t3289,Male,21,25,0.00246
t3289,Male,22,1,5.4e-4
t3289,Male,22,2,5.6e-4
t3289,Male,22,3,5.4e-4
t3289,Male,22,4,5.4e-4
t3289,Male,22,5,5.5e-4
t3289,Male,22,6,5.6e-4
t3289,Male,22,7,5.6e-4
t3289,Male,22,8,5.7e-4
t3289,Male,22,9,5.8e-4
t3289,Male,22,10,6.4e-4
t3289,Male,22,11,6.9e-4
t3289,Male,22,12,7.5e-4
t3289,Male,22,13,8e-4
t3289,Male,22,14,8.9e-4
t3289,Male,22,15,9.8e-4
t3289,Male,22,16,0.00109
t3289,Male,22,17,0.00125
t3289,Male,22,18,0.00142
t3289,Male,22,19,0.00161
t3289,Male,22,20,0.00179
t3289,Male,22,21,0.00193
t3289,Male,22,22,0.00205
t3289,Male,22,23,0.00216
t3289,Male,22,24,0.00232
t3289,Male,22,25,0.00252
t3289,Male,23,1,4.8e-4
t3289,Male,23,2,4.9e-4
t3289,Male,23,3,4.7e-4
t3289,Male,23,4,4.8e-4
t3289,Male,23,5,4.9e-4
t3289,Male,23,6,5e-4
t3289,Male,23,7,5.1e-4
t3289,Male,23,8,5.4e-4
t3289,Male,23,9,5.7e-4
t3289,Male,23,10,6.4e-4
t3289,Male,23,11,7e-4
t3289,Male,23,12,7.6e-4
t3289,Male,23,13,8.3e-4
t3289,Male,23,14,9.2e-4
t3289,Male,23,15,0.00104
t3289,Male,23,16,0.00117
t3289,Male,23,17,0.00132
t3289,Male,23,18,0.00151
t3289,Male,23,19,0.00169
t3289,Male,23,20,0.00183
t3289,Male,23,21,0.00195
t3289,Male,23,22,0.00206
t3289,Male,23,23,0.00216
t3289,Male,23,24,0.00235
t3289,Male,23,25,0.00256
t3289,Male,24,1,4.2e-4
