table,gender_blend,tobacco,issue_age,duration,q_sel
t3319,20% Male,Nonsmoker,22,2,3e-4
t3319,20% Male,Nonsmoker,22,3,3.1e-4
t3319,20% Male,Nonsmoker,22,4,3e-4
t3319,20% Male,Nonsmoker,22,5,2.8e-4
t3319,20% Male,Nonsmoker,22,6,2.8e-4
t3319,20% Male,Nonsmoker,22,7,2.9e-4
t3319,20% Male,Nonsmoker,22,8,3.1e-4
t3319,20% Male,Nonsmoker,22,9,3.4e-4
t3319,20% Male,Nonsmoker,22,10,3.8e-4
t3319,20% Male,Nonsmoker,22,11,3.9e-4
t3319,20% Male,Nonsmoker,22,12,4e-4
t3319,20% Male,Nonsmoker,22,13,4.4e-4
t3319,20% Male,Nonsmoker,22,14,5e-4
t3319,20% Male,Nonsmoker,22,15,5.9e-4
t3319,20% Male,Nonsmoker,22,16,6.8e-4
t3319,20% Male,Nonsmoker,22,17,7.8e-4
t3319,20% Male,Nonsmoker,22,18,8.7e-4
t3319,20% Male,Nonsmoker,22,19,9.7e-4
t3319,20% Male,Nonsmoker,22,20,0.00106
t3319,20% Male,Nonsmoker,22,21,0.00111
t3319,20% Male,Nonsmoker,22,22,0.00112
t3319,20% Male,Nonsmoker,22,23,0.00115
t3319,20% Male,Nonsmoker,22,24,0.00117
t3319,20% Male,Nonsmoker,22,25,0.00124
t3319,20% Male,Nonsmoker,23,1,2.3e-4
t3319,20% Male,Nonsmoker,23,2,2.7e-4
t3319,20% Male,Nonsmoker,23,3,2.7e-4
t3319,20% Male,Nonsmoker,23,4,2.5e-4
t3319,20% Male,Nonsmoker,23,5,2.5e-4
t3319,20% Male,Nonsmoker,23,6,2.6e-4
t3319,20% Male,Nonsmoker,23,7,2.9e-4
t3319,20% Male,Nonsmoker,23,8,3.1e-4
t3319,20% Male,Nonsmoker,23,9,3.5e-4
t3319,20% Male,Nonsmoker,23,10,3.7e-4
t3319,20% Male,Nonsmoker,23,11,3.9e-4
t3319,20% Male,Nonsmoker,23,12,4.1e-4
t3319,20% Male,Nonsmoker,23,13,4.6e-4
t3319,20% Male,Nonsmoker,23,14,5.4e-4
t3319,20% Male,Nonsmoker,23,15,6.3e-4
t3319,20% Male,Nonsmoker,23,16,7.1e-4
t3319,20% Male,Nonsmoker,23,17,7.9e-4
t3319,20% Male,Nonsmoker,23,18,8.8e-4
t3319,20% Male,Nonsmoker,23,19,9.8e-4
t3319,20% Male,Nonsmoker,23,20,0.00106
t3319,20% Male,Nonsmoker,23,21,0.00111
t3319,20% Male,Nonsmoker,23,22,0.00113
t3319,20% Male,Nonsmoker,23,23,0.00115
t3319,20% Male,Nonsmoker,23,24,0.00121
