table,gender,tobacco,issue_age,duration,q_sel
t3295,Male,Nonsmoker,22,10,4.8e-4
t3295,Male,Nonsmoker,22,11,5.1e-4
t3295,Male,Nonsmoker,22,12,5.5e-4
t3295,Male,Nonsmoker,22,13,5.9e-4
t3295,Male,Nonsmoker,22,14,6.6e-4
t3295,Male,Nonsmoker,22,15,7.3e-4
t3295,Male,Nonsmoker,22,16,7.9e-4
t3295,Male,Nonsmoker,22,17,9e-4
t3295,Male,Nonsmoker,22,18,0.00104
t3295,Male,Nonsmoker,22,19,0.00119
t3295,Male,Nonsmoker,22,20,0.00131
t3295,Male,Nonsmoker,22,21,0.00138
t3295,Male,Nonsmoker,22,22,0.00145
t3295,Male,Nonsmoker,22,23,0.00153
t3295,Male,Nonsmoker,22,24,0.00168
t3295,Male,Nonsmoker,22,25,0.00185
t3295,Male,Nonsmoker,23,1,4.2e-4
t3295,Male,Nonsmoker,23,2,4.3e-4
t3295,Male,Nonsmoker,23,3,3.9e-4
t3295,Male,Nonsmoker,23,4,3.7e-4
t3295,Male,Nonsmoker,23,5,3.7e-4
t3295,Male,Nonsmoker,23,6,3.7e-4
t3295,Male,Nonsmoker,23,7,3.7e-4
t3295,Male,Nonsmoker,23,8,3.9e-4
t3295,Male,Nonsmoker,23,9,4.1e-4
t3295,Male,Nonsmoker,23,10,4.8e-4
t3295,Male,Nonsmoker,23,11,5.2e-4
t3295,Male,Nonsmoker,23,12,5.6e-4
t3295,Male,Nonsmoker,23,13,6.1e-4
t3295,Male,Nonsmoker,23,14,6.9e-4
t3295,Male,Nonsmoker,23,15,7.6e-4
t3295,Male,Nonsmoker,23,16,8.2e-4
t3295,Male,Nonsmoker,23,17,9.4e-4
t3295,Male,Nonsmoker,23,18,0.00109
t3295,Male,Nonsmoker,23,19,0.00123
t3295,Male,Nonsmoker,23,20,0.00132
t3295,Male,Nonsmoker,23,21,0.00139
t3295,Male,Nonsmoker,23,22,0.00145
t3295,Male,Nonsmoker,23,23,0.00154
t3295,Male,Nonsmoker,23,24,0.00171
t3295,Male,Nonsmoker,23,25,0.00191
t3295,Male,Nonsmoker,24,1,3.6e-4
t3295,Male,Nonsmoker,24,2,3.7e-4
t3295,Male,Nonsmoker,24,3,3.3e-4
t3295,Male,Nonsmoker,24,4,3.2e-4
t3295,Male,Nonsmoker,24,5,3.2e-4
t3295,Male,Nonsmoker,24,6,3.2e-4
t3295,Male,Nonsmoker,24,7,3.4e-4
t3295,Male,Nonsmoker,24,8,3.8e-4
t3295,Male,Nonsmoker,24,9,4.1e-4
t3295,Male,Nonsmoker,24,10,4.8e-4
t3295,Male,Nonsmoker,24,11,5.3e-4
t3295,Male,Nonsmoker,24,12,5.9e-4
t3295,Male,Nonsmoker,24,13,6.5e-4
t3295,Male,Nonsmoker,24,14,7.3e-4
t3295,Male,Nonsmoker,24,15,8e-4
t3295,Male,Nonsmoker,24,16,8.6e-4
t3295,Male,Nonsmoker,24,17,0.001
t3295,Male,Nonsmoker,24,18,0.00114
t3295,Male,Nonsmoker,24,19,0.00126
t3295,Male,Nonsmoker,24,20,0.00132
t3295,Male,Nonsmoker,24,21,0.0014
t3295,Male,Nonsmoker,24,22,0.00145
t3295,Male,Nonsmoker,24,23,0.00158
t3295,Male,Nonsmoker,24,24,0.00178
t3295,Male,Nonsmoker,24,25,0.00199
t3295,Male,Nonsmoker,25,1,3.1e-4
t3295,Male,Nonsmoker,25,2,3.2e-4
t3295,Male,Nonsmoker,25,3,3e-4
t3295,Male,Nonsmoker,25,4,3e-4
t3295,Male,Nonsmoker,25,5,3e-4
t3295,Male,Nonsmoker,25,6,3.1e-4
t3295,Male,Nonsmoker,25,7,3.4e-4
t3295,Male,Nonsmoker,25,8,3.8e-4
t3295,Male,Nonsmoker,25,9,4.2e-4
t3295,Male,Nonsmoker,25,10,5e-4
t3295,Male,Nonsmoker,25,11,5.6e-4
t3295,Male,Nonsmoker,25,12,6.3e-4
t3295,Male,Nonsmoker,25,13,6.9e-4
t3295,Male,Nonsmoker,25,14,7.7e-4
t3295,Male,Nonsmoker,25,15,8.5e-4
t3295,Male,Nonsmoker,25,16,9.2e-4
t3295,Male,Nonsmoker,25,17,0.00107
t3295,Male,Nonsmoker,25,18,0.0012
t3295,Male,Nonsmoker,25,19,0.00128
t3295,Male,Nonsmoker,25,20,0.00133
t3295,Male,Nonsmoker,25,21,0.00141
t3295,Male,Nonsmoker,25,22,0.0015
t3295,Male,Nonsmoker,25,23,0.00168
t3295,Male,Nonsmoker,25,24,0.00189
t3295,Male,Nonsmoker,25,25,0.00212
t3295,Male,Nonsmoker,26,1,2.7e-4
t3295,Male,Nonsmoker,26,2,2.9e-4
t3295,Male,Nonsmoker,26,3,2.7e-4
t3295,Male,Nonsmoker,26,4,2.8e-4
t3295,Male,Nonsmoker,26,5,2.9e-4
t3295,Male,Nonsmoker,26,6,3.1e-4
t3295,Male,Nonsmoker,26,7,3.5e-4
t3295,Male,Nonsmoker,26,8,4e-4
t3295,Male,Nonsmoker,26,9,4.3e-4
t3295,Male,Nonsmoker,26,10,5.3e-4
t3295,Male,Nonsmoker,26,11,6e-4
t3295,Male,Nonsmoker,26,12,6.7e-4
t3295,Male,Nonsmoker,26,13,7.3e-4
t3295,Male,Nonsmoker,26,14,8.2e-4
t3295,Male,Nonsmoker,26,15,9.1e-4
